iter	Passed	Remaining
260	354	1003
261	355	1000
262	355	997
263	356	994
264	357	990
265	357	987
266	358	984
267	359	981
268	360	978
269	360	975
270	361	972
271	361	968
272	362	965
273	363	962
274	363	959
275	364	955
276	365	952
277	365	949
278	366	946
279	366	943
280	367	940
281	368	937
282	368	934
283	369	931
284	370	928
285	370	925
286	371	922
287	371	919
288	372	916
289	373	913
290	374	911
291	375	909
292	376	907
293	376	904
294	377	902
295	378	899
296	378	896
297	379	894
298	380	891
299	381	889
300	381	886
301	382	883
302	382	881
303	383	878
304	384	875
305	385	873
306	386	871
307	386	868
308	387	866
309	388	863
310	388	861
311	389	859
312	390	856
313	391	854
314	391	852
315	392	850
316	393	847
317	394	845
318	394	842
319	395	840
320	396	838
321	396	835
322	397	833
323	398	830
324	398	828
325	399	826
326	400	823
327	400	821
328	401	819
329	402	816
330	402	814
331	403	812
332	404	810
333	405	807
334	405	805
335	406	803
336	407	801
337	407	798
338	408	796
339	409	794
340	409	791
341	410	789
342	410	787
343	411	784
344	412	782
345	412	780
346	413	778
347	414	776
348	415	774
349	416	773
350	417	771
351	417	769
352	418	767
353	419	765
354	420	763
355	420	761
356	421	758
357	422	756
358	422	754
359	423	752
360	423	750
361	424	748
362	425	746
363	425	743
364	426	741
365	427	739
366	427	737
367	428	735
368	428	733
369	429	731
370	430	729
371	430	727
372	431	725
373	432	723
374	432	721
375	433	720
376	434	718
377	435	716
378	436	714
379	436	712
380	437	710
381	437	708
382	438	706
383	439	704
384	439	702
385	440	701
386	441	699
387	442	697
388	442	695
389	443	693
390	444	691
391	444	689
392	445	687
393	446	686
394	446	684
395	447	682
396	448	681
397	449	679
398	450	677
399	450	676
400	451	674
401	452	672
402	453	671
403	453	669
404	454	667
405	455	665
406	455	663
407	456	661
408	456	660
409	457	658
410	458	657
411	459	655
412	459	653
413	460	651
414	461	650
415	461	648
416	462	646
417	463	644
418	463	643
419	465	642
420	465	640
421	466	638
422	467	637
423	467	635
424	468	633
425	468	631
426	469	629
427	469	628
428	470	626
429	471	624
430	471	623
431	472	621
432	473	619
433	473	618
434	474	616
435	475	614
436	475	612
437	476	611
438	477	610
439	478	608
440	479	607
441	479	605
442	480	604
443	481	603
444	482	602
445	483	600
446	484	599
447	485	598
448	486	596
449	486	594
450	487	593
451	488	591
452	489	590
453	489	589
454	490	587
455	491	585
456	491	584
457	492	582
458	493	581
459	494	580
460	495	578
461	495	577
462	496	576
463	497	574
464	498	573
465	498	571
466	499	570
467	500	568
468	501	567
469	502	566
470	503	565
471	504	563
472	504	562
473	505	561
474	506	559
475	507	558
476	507	556
477	508	555
478	509	554
479	510	552
480	510	551
481	511	549
482	512	548
483	513	547
484	513	545
485	514	544
486	515	542
487	515	541
488	516	539
489	517	538
490	517	536
491	518	535
492	519	534
493	520	532
494	520	531
495	521	529
496	522	528
497	522	527
498	523	525
499	524	524
500	525	523
501	526	521
502	526	520
503	527	518
504	527	517
505	528	516
506	529	514
507	529	513
508	530	511
509	531	510
510	531	508
511	532	507
512	533	505
513	533	504
514	534	503
515	534	501
516	535	500
517	536	498
518	536	497
519	537	496
520	538	494
521	538	493
522	539	492
523	540	491
524	541	489
525	541	488
526	542	486
527	543	485
528	543	484
529	544	482
530	545	481
531	545	480
532	546	478
533	547	477
534	547	476
535	548	474
536	548	473
537	549	471
538	550	470
539	550	469
540	551	467
541	552	466
542	552	465
543	553	464
544	554	462
545	555	461
546	556	460
547	556	459
548	557	458
549	558	456
550	558	455
551	559	454
552	560	452
553	560	451
554	561	450
555	562	448
556	562	447
557	563	446
558	563	444
559	564	443
560	565	442
561	565	440
562	566	439
563	567	438
564	567	437
565	568	436
566	569	434
567	570	433
568	570	432
569	571	431
570	572	429
571	572	428
572	573	427
573	573	425
574	574	424
575	575	423
576	575	422
577	576	420
578	577	419
579	577	418
580	578	416
581	578	415
582	579	414
583	580	413
584	580	411
585	581	410
586	582	409
587	582	408
588	583	407
589	584	406
590	584	404
591	585	403
592	586	402
593	587	401
594	588	400
595	588	399
596	589	397
597	590	396
598	590	395
599	591	394
600	591	392
601	592	391
602	593	390
603	593	389
604	594	388
605	594	386
606	595	385
607	596	384
608	596	383
609	597	382
610	598	380
611	599	379
612	599	378
613	600	377
614	601	376
615	601	375
616	602	373
617	603	372
618	603	371
619	604	370
620	605	369
621	605	368
622	606	366
623	606	365
624	607	364
625	608	363
626	608	362
627	609	360
628	610	359
629	610	358
630	611	357
631	611	356
632	612	355
633	613	354
634	614	353
635	614	351
636	615	350
637	616	349
638	616	348
639	617	347
640	617	346
641	618	344
642	619	343
643	619	342
644	620	341
645	621	340
646	621	339
647	622	338
648	622	336
649	623	335
650	624	334
651	625	333
652	625	332
653	626	331
654	627	330
655	628	329
656	629	328
657	630	327
658	630	326
659	631	325
660	632	324
661	633	323
662	633	322
663	634	321
664	635	319
665	635	318
666	636	317
667	637	316
668	638	315
669	638	314
670	639	313
671	640	312
672	640	311
673	641	310
674	642	309
675	643	308
676	644	307
677	645	306
678	645	305
679	646	304
680	647	303
681	648	302
682	648	301
683	649	300
684	650	299
685	651	298
686	651	296
687	652	295
688	652	294
689	653	293
690	654	292
691	654	291
692	655	290
693	656	289
694	657	288
695	658	287
696	659	286
697	660	285
698	661	284
699	662	283
700	663	282
701	663	281
702	664	280
703	665	279
704	666	278
705	666	277
706	667	276
707	668	275
708	669	274
709	669	273
710	670	272
711	670	271
712	671	270
713	672	269
714	673	268
715	674	267
716	674	266
717	675	265
718	676	264
719	677	263
720	677	262
721	678	261
722	679	260
723	680	259
724	680	258
725	681	257
726	682	256
727	682	255
728	683	254
729	683	252
730	684	251
731	685	250
732	686	249
733	686	248
734	687	247
735	688	246
736	689	245
737	689	244
738	690	243
739	691	242
740	692	241
741	692	240
742	693	239
743	694	238
744	694	237
745	695	236
746	695	235
747	696	234
748	697	233
749	698	232
750	698	231
751	699	230
752	700	229
753	700	228
754	701	227
755	701	226
756	702	225
757	703	224
758	704	223
759	705	222
760	705	221
761	706	220
762	707	219
763	707	218
764	708	217
765	708	216
766	709	215
767	710	214
768	711	213
769	712	212
770	712	211
771	713	210
772	714	209
773	714	208
774	715	207
775	716	206
776	716	205
777	717	204
778	718	203
779	718	202
780	719	201
781	720	200
782	720	199
783	721	198
784	721	197
785	722	196
786	723	195
787	723	194
788	724	193
789	725	192
790	726	191
791	726	190
792	727	189
793	728	188
794	728	187
795	729	186
796	730	186
797	731	185
798	732	184
799	733	183
800	733	182
801	734	181
802	735	180
803	735	179
804	736	178
805	737	177
806	737	176
807	738	175
808	739	174
809	739	173
810	740	172
811	741	171
812	741	170
813	742	169
814	743	168
815	744	167
816	745	166
817	745	165
818	746	164
819	747	163
820	747	163
821	748	162
822	748	161
823	749	160
824	750	159
825	751	158
826	751	157
827	752	156
828	753	155
829	753	154
830	754	153
831	755	152
832	755	151
833	756	150
834	757	149
835	758	148
836	758	147
837	759	146
838	760	145
839	761	144
840	761	143
841	762	143
842	763	142
843	763	141
844	764	140
845	765	139
846	766	138
847	766	137
848	767	136
849	767	135
850	768	134
851	769	133
852	769	132
853	770	131
854	771	130
855	772	129
856	772	128
857	773	128
858	774	127
859	775	126
860	776	125
861	776	124
862	777	123
863	778	122
864	778	121
865	779	120
866	780	119
867	780	118
868	781	117
869	782	116
870	782	115
871	783	114
872	783	114
873	784	113
874	785	112
875	786	111
876	786	110
877	787	109
878	788	108
879	789	107
880	790	106
881	790	105
882	791	104
883	791	103
884	792	102
885	793	102
886	793	101
887	794	100
888	795	99
889	796	98
890	796	97
891	797	96
892	797	95
893	798	94
894	799	93
895	799	92
896	800	91
897	801	91
898	802	90
899	803	89
900	803	88
901	804	87
902	805	86
903	806	85
904	806	84
905	807	83
906	808	82
907	809	81
908	809	81
909	810	80
910	810	79
911	811	78
912	812	77
913	812	76
914	813	75
915	814	74
916	814	73
917	815	72
918	816	71
919	817	71
920	818	70
921	818	69
922	819	68
923	820	67
924	821	66
925	821	65
926	822	64
927	823	63
928	823	62
929	824	62
930	825	61
931	825	60
932	826	59
933	827	58
934	828	57
935	828	56
936	829	55
937	830	54
938	831	53
939	831	53
940	832	52
941	833	51
942	834	50
943	834	49
944	835	48
945	836	47
946	837	46
947	837	45
948	838	45
949	839	44
950	840	43
951	840	42
952	841	41
953	841	40
954	842	39
955	843	38
956	843	37
957	844	37
958	845	36
959	846	35
960	847	34
961	847	33
962	849	32
963	850	31
964	851	30
965	851	29
966	852	29
967	853	28
968	853	27
969	854	26
970	855	25
971	855	24
972	856	23
973	857	22
974	858	22
975	858	21
976	859	20
977	859	19
978	860	18
979	861	17
980	862	16
981	862	15
982	863	14
983	864	14
984	865	13
985	866	12
986	867	11
987	868	10
988	868	9
989	869	8
990	870	7
991	871	7
992	872	6
993	872	5
994	873	4
995	874	3
996	875	2
997	876	1
998	877	0
999	878	0
